5/1/2020,,,,,,,,,,,
"Country,",Total,New,Total,New,Total,Active,"Serious,",Tot Cases/,Deaths/,Total,Tests/
Other,Cases,Cases,Deaths,Deaths,Recovered,Cases,Critical,1M pop,1M pop,Tests,1M pop
World,"3,398,094","94,550","239,448","5,624","1,080,075","2,078,571","51,355",436,30.7,,
USA,"1,131,030","36,007","65,753","1,897","161,563","903,714","16,481","3,417",199,"6,699,878","20,241"
Spain,"242,979","3,639","24,824",281,"142,441","75,714","2,500","5,197",531,"1,528,833","32,699"
Italy,"207,428","1,965","28,236",269,"78,249","100,943","1,578","3,431",467,"2,053,425","33,962"
UK,"177,454","6,201","27,510",739,N/A,"149,600","1,559","2,614",405,"1,023,824","15,082"
France,"167,346",168,"24,594",218,"50,212","92,540","3,878","2,564",377,"1,100,228","16,856"
Germany,"164,077","1,068","6,736",113,"126,900","30,441","2,189","1,958",80,"2,547,052","30,400"
Turkey,"122,392","2,188","3,258",84,"53,808","65,326","1,480","1,451",39,"1,075,048","12,747"
Russia,"114,431","7,933","1,169",96,"13,220","100,042","2,300",784,8,"3,700,000","25,354"
Iran,"95,646","1,006","6,091",63,"76,318","13,237","2,899","1,139",73,"475,023","5,656"
Brazil,"92,109","6,729","6,410",509,"38,039","47,660","8,318",433,30,"339,552","1,597"
China,"82,874",12,"4,633",0,"77,642",599,38,58,3,0,0
Canada,"55,061","1,825","3,391",207,"22,751","28,919",557,"1,459",90,"832,222","22,050"
Belgium,"49,032",513,"7,703",109,"11,892","29,437",740,"4,231",665,"253,198","21,847"
Peru,"40,459","3,483","1,124",73,"11,129","28,206",658,"1,227",34,"342,498","10,388"
Netherlands,"39,791",475,"4,893",98,N/A,"34,648",735,"2,322",286,"225,899","13,184"
India,"37,257","2,394","1,223",69,"10,007","26,027",,27,0.9,"902,654",654
Switzerland,"29,705",119,"1,754",17,"23,900","4,051",167,"3,432",203,"271,500","31,371"
Ecuador,"26,336","1,402","1,063",163,"1,913","23,360",149,"1,493",60,"71,950","4,078"
Portugal,"24,987",313,"1,007",18,"1,647","22,333",154,"2,450",99,"409,961","40,205"
Saudi Arabia,"24,097","1,344",169,7,"3,555","20,373",117,692,5,"326,955","9,392"
Sweden,"21,520",428,"2,653",67,"1,005","17,862",531,"2,131",263,"119,500","11,833"
Ireland,"20,833",221,"1,265",33,"13,386","6,182",123,"4,219",256,"153,954","31,179"
Mexico,"19,224","1,425","1,859",127,"11,423","5,942",378,149,14,"81,912",635
Pakistan,"18,092","1,619",417,56,"4,351","13,324",111,82,2,"182,131",825
Singapore,"17,101",932,16,1,"1,268","15,817",23,"2,923",3,"143,919","24,600"
Chile,"17,008",985,234,7,"9,018","7,756",392,890,12,"189,433","9,910"
Israel,"16,101",155,225,3,"9,156","6,720",103,"1,860",26,"364,467","42,108"
Austria,"15,531",79,589,5,"13,110","1,832",124,"1,724",65,"264,079","29,321"
Belarus,"14,917",890,93,4,"2,918","11,906",92,"1,579",10,"186,262","19,712"
Japan,"14,305",217,455,25,"2,975","10,875",328,113,4,"174,150","1,377"
Qatar,"14,096",687,12,2,"1,436","12,648",72,"4,893",4,"97,726","33,920"
Poland,"13,105",228,651,7,"3,491","8,963",160,346,17,"354,628","9,370"
UAE,"13,038",557,111,6,"2,543","10,384",1,"1,318",11,"1,200,000","121,330"
Romania,"12,567",327,744,27,"4,328","7,495",249,653,39,"183,688","9,548"
Ukraine,"10,861",455,272,11,"1,413","9,176",143,248,6,"118,545","2,711"
S. Korea,"10,774",9,248,1,"9,072","1,454",55,210,5,"623,069","12,153"
Indonesia,"10,551",433,800,8,"1,591","8,160",0,39,3,"102,305",374
Denmark,"9,311",153,460,8,"6,729","2,122",61,"1,608",79,"206,576","35,665"
Serbia,"9,205",196,185,6,"1,379","7,641",65,"1,054",21,"91,551","10,478"
Philippines,"8,772",284,579,11,"1,084","7,109",31,80,5,"108,680",992
Bangladesh,"8,238",571,170,2,174,"7,894",1,50,1,"70,239",426
Norway,"7,783",45,210,0,32,"7,541",37,"1,436",39,"172,586","31,835"
Czechia,"7,737",55,240,4,"3,372","4,125",67,722,22,"249,634","23,311"
Dominican Republic,"7,288",316,313,12,"1,387","5,588",144,672,29,"25,368","2,339"
Colombia,"7,006",499,314,21,"1,551","5,141",118,138,6,"104,657","2,057"
Australia,"6,767",13,93,1,"5,745",929,28,265,4,"588,868","23,093"
Panama,"6,532",154,188,10,576,"5,768",86,"1,514",44,"30,749","7,126"
Malaysia,"6,071",69,103,1,"4,210","1,758",37,188,3,"168,784","5,215"
South Africa,"5,951",304,116,13,"2,382","3,453",36,100,2,"217,522","3,668"
Egypt,"5,895",358,406,14,"1,460","4,029",0,58,4,"90,000",879
